package,sequence_length,additive_anim_type,ref_pose_seq,enable_root_motion,playback,sha256
/Game/InfimaGames/TacticalFPSAnimations/Weapons/AssaultRifle/Animations/Character/TP/Combat/A_TFA_TP_AR_Reload_Empty,3.6666667461395264,<AdditiveAnimationType.AAT_LOCAL_SPACE_BASE: 1>,/Game/InfimaGames/TacticalFPSAnimations/Weapons/AssaultRifle/Animations/Character/TP/Poses/A_TFA_TP_AR_Idle_Pose.A_TFA_TP_AR_Idle_Pose,False,PIE end-to-end,a071a71dd0021574c900bb34898064a5c6f5944b400355ceb182b424002003bc
/Game/InfimaGames/TacticalFPSAnimations/Weapons/AssaultRifle/Animations/Character/TP/Combat/A_TFA_TP_AR_Reload_Empty_Aimed,3.6666667461395264,<AdditiveAnimationType.AAT_LOCAL_SPACE_BASE: 1>,/Game/InfimaGames/TacticalFPSAnimations/Weapons/AssaultRifle/Animations/Character/TP/Poses/A_TFA_TP_AR_Aim_Pose.A_TFA_TP_AR_Aim_Pose,False,PIE end-to-end,7b0e16845da4fbdfb9f3c5a189c9b8a5f2bfa913e2a6c38078ba50517648d88b
/Game/InfimaGames/TacticalFPSAnimations/Weapons/AssaultRifle/Animations/Character/TP/Locomotion/A_TFA_TP_AR_Idle_Loop,4.0,<AdditiveAnimationType.AAT_LOCAL_SPACE_BASE: 1>,/Game/InfimaGames/TacticalFPSAnimations/Weapons/AssaultRifle/Animations/Character/TP/Poses/A_TFA_TP_AR_Idle_Pose.A_TFA_TP_AR_Idle_Pose,False,Native pose evaluation at 4 phases; no end-to-end playback claim,68305f0ec67b9d34de11a2b116a4398b9dffe02e273aaeba148f436561870195
/Game/InfimaGames/TacticalFPSAnimations/Weapons/AssaultRifle/Animations/Character/TP/Poses/A_TFA_TP_AR_Aim_Pose,0.03333333507180214,<AdditiveAnimationType.AAT_NONE: 0>,,False,Native pose evaluation at 4 phases; no end-to-end playback claim,c11b107ffcdb0e23cbd5018f57c1d78cd330358ddaa718e987d358f3a1741893
/Game/InfimaGames/TacticalFPSAnimations/Weapons/AssaultRifle/Animations/Character/TP/Poses/A_TFA_TP_AR_Idle_Pose,0.03333333507180214,<AdditiveAnimationType.AAT_NONE: 0>,,False,Native pose evaluation at 4 phases; no end-to-end playback claim,97c4a240e2e97a9695c7406150d70c5294636bf7a2dff64e1a47ed664aae642a
/Game/InfimaGames/TacticalFPSAnimations/Weapons/AssaultRifle/Animations/Character/TP/Transitions/A_TFA_TP_AR_Equip,2.3333332538604736,<AdditiveAnimationType.AAT_ROTATION_OFFSET_MESH_SPACE: 2>,/Game/InfimaGames/TacticalFPSAnimations/Weapons/AssaultRifle/Animations/Character/TP/Poses/A_TFA_TP_AR_Idle_Pose.A_TFA_TP_AR_Idle_Pose,False,Native pose evaluation at 4 phases; no end-to-end playback claim,431e4754ec029fbf5072c376dd3c3ea20ad9fe5af6f98bf6a298bfbaa404492c
/Game/InfimaGames/TacticalFPSAnimations/Weapons/AssaultRifle/Animations/Character/TP/Transitions/A_TFA_TP_AR_Holster,0.4000000059604645,<AdditiveAnimationType.AAT_NONE: 0>,,False,Native pose evaluation at 4 phases; no end-to-end playback claim,3704e03e061268a8dabbe37c2cf22b0049f9c75cf8a016562c11ab8e24654820
/Game/InfimaGames/TacticalFPSAnimations/Weapons/AssaultRifle/Animations/Character/TP/Transitions/A_TFA_TP_AR_Transition_Aim_End,1.0,<AdditiveAnimationType.AAT_ROTATION_OFFSET_MESH_SPACE: 2>,/Game/InfimaGames/TacticalFPSAnimations/Weapons/AssaultRifle/Animations/Character/TP/Poses/A_TFA_TP_AR_Idle_Pose.A_TFA_TP_AR_Idle_Pose,False,Native pose evaluation at 4 phases; no end-to-end playback claim,8005f9a8619861348b1e2acec968af5823229e02491822795ec44b8ff30179f5
/Game/InfimaGames/TacticalFPSAnimations/Weapons/AssaultRifle/Animations/Character/TP/Transitions/A_TFA_TP_AR_Transition_Aim_Start,0.9666666388511658,<AdditiveAnimationType.AAT_ROTATION_OFFSET_MESH_SPACE: 2>,/Game/InfimaGames/TacticalFPSAnimations/Weapons/AssaultRifle/Animations/Character/TP/Poses/A_TFA_TP_AR_Idle_Pose.A_TFA_TP_AR_Idle_Pose,False,Native pose evaluation at 4 phases; no end-to-end playback claim,6390deb1f9d4f4a582b60b62c4bc7c75051ae5f6e8483ec617496a4cbbd52c32
/Game/InfimaGames/TacticalFPSAnimations/Weapons/AssaultRifle/Animations/Weapon/Common/A_TFA_AR_Magazine_FireDepletion,1.0,<AdditiveAnimationType.AAT_NONE: 0>,,False,Native pose evaluation at 4 phases; no end-to-end playback claim,1614cf17728ea868113bcca66bca14a661e8cffef3904e2a0790d8d7494a6f9b
